Score,Review_title,Review_content,Date_of_travel,Bonus
10,All 5 flights got cancelled without reason. Rescheduled flight required a visa. To solve it they charged extra 820AUD,"Qantas canceled the flights. They provided only one alternative option requiring a visa. When I pointed it out, they charged an extra 820AUD to have a rescheduled flight without a visa requirement. But they lost my other tickets. I was trying to persuade them for two hours until I got my tickets back. But these flights were canceled again. You can't speak with someone in Melbourne airport. They say to call the hotline and wait for an hour until a rude operator will refuse to solve this issue", July 2022,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Utterly dissapointed!,"I have not taken my flight yet. It was scheduled form the summer of 2023. I had four flights with Quantas because we are touring Australia this summer. I booked a year in advance and planned every detail. Every flight with them has been changed by the airlines. One flight dropped the second leg of our trip. To make a long story short, I had to cancel everyflight and book with someone else. I had to change transfers, accomadations and exursions due to limited new options. To make it worse, I am now fighting for my refunds, $1000's is now on my credit card due to the delay in refunds. This company is horrible and can not be trusted. I have spend countless hours trying to get their mess fixed.", March 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
20,Used to be the best now focused on profits,They don't respond to that customer enquiries I've heard many issues with the ticket no one can help even as gold frequent flyer. That customer service is there to lie to our customers and hope they don't continue to follow up. Absolutely disgusting. Are used to be proud to be a frequent flyer with this airline., January 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
50,OLD FASHIONED FRIENDLY SERVICE,"My partner and I are both walking cane dependent and the wonderful Qantas cabin crew of the 737 to Nadi on Feb 26th went out of their way to help make our trip to Fiji all the more special. The food was enjoyable, the flight was seamless (Nicole in particular) greeted us with a very welcoming manner. Thank you Qantas for being the best!", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,The worst experience ever,"My company booked a flight from Kuala Lumpur to London via Singapore. The KL- Singapore flight was provided by Jet Air , who arrived late but I was insured that the Qantas flight would wait in case there is some delay and passengers to London would be transferred directly to the gate. To our shock the airport assistant announced that the London flight is not boarding anymore and everybody would be transferred to the hotel , but the plane hasn¡¯t departed yet. We rushed to the gate , have gone through the security just to find out the plane is not accepting connecting passengers due to some internal regulations, even though we arrived before the official departure. The obnoxious Qatar gentleman didn¡¯t really care about asking the captain to wait for us. We went to hotel where we were offered 30 Singapore dollars meal a day and a room in a smoky room. I have spent whole night with Qantas call centre who were completely useless and couldn¡¯t move me to another plane this of the following day. Overall the experience was appalling, the service was pathetic and inhumane. The lack of any empathy from Qantas will make me think twice before booking any new flight with this airline in the future.", March 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
30,Not worth paying additional,"Disappointed with cabin crew attitude, their body language(I'm gonna do the basics, that's it).
My seat did not recline, 2 of them "" flight attendants"" (being asked separately) said ""I'll have a look"" they didn't. Best say: sorry your seat hasn't been serviced, nothing we can do.
The beverages team didn't even bother to say what wines were available. It doesn't cost anything to say "" I have only chardonnay and shiraz"". I asked for ice on my plastic cup: the male steward said"" I don't have ice?
He was away 20 steps from getting ice...but he couldn't be bothered. Better fly Jetstar, paying LESS for similar service.", March 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
20,Amazing lack of care for inconvenience to passengers,"Our delayed international flight resulted in us missing our connecting domestic flight additional 6 hour layover at Sydney Airport. I understand this sometimes happens, but the level of poor customer service and lack of care factor was surprising.", March 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Lost baggage terrible customer service,"A simple non-stop flight from AKL to SYD result in Qantas managing to lose baggage.
After multiple calls and baggage not being located for 3 days they said that we may purchase some clothes and submit receipt through their website to claim back the expense. This was done, and then nothing is heard from Qanats for 3+ weeks. A follow up phone call to Qantas so called customer service line (wait time 20 mins to get through) would not allow me to speak to the baggage department to get me an update, instead they put me on hold for several minutes and then the same lady told me they had ""expedited"" my query. When I asked what this meant and when I could expect a response, I was told, as soon as possible. When I probed this for her to actually give me a time line she would not do it, I asked if I could expect the query to be resolved this year, she couldn't even give me that assurance.
I paid a bit more to go with Qantas to have a premium experience, this has truly backfired and wish I had gone with Air NZ/Singapore for my full trip instead, hell even AirAsia would have been better!", February 2023,Legroom: 20 Seat comfort: 30 In-flight Entertainment: 20 Customer service: 10 Value for money: 10 Cleanliness: 10 Check-in and boarding: 10 Food and Beverage: 20
50,Friendly and cordial,"Customer service is an art. It comes from the heart. And Qantas, your employees are mastered in that. Thank you Qantas for such a friendly and homley experience during the flight and also at the airport. Thank you Qantas for welcoming me, regardless of my skin colour and passport identity. That was my first experience in 12 years of flying with 13+ Airlines. And last but not least, thank you Qantas for breaking the stereotype that cabin crews should be the slim young human beings with 20 mm thickness make up and an artificial smile. You are showing the world that Cabin crews come in any age, form and shape. That years of experience of them are making you extra special. And their friendly, respectfull behavior from the heart is your identity.

Thank you
AJ", March 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,"Booked Business Class with Qantas Titanium card, Disaster follows","So we tried to book business class from Brisbane to Dublin (Ireland) with our Qantas Titanium card. First Qantas said we would have to book two seperate booking as they can't book non-Qantas flights with Titanium cards! We said that would be fine as long as our luggage could be checked all the way through. They said yes. As it turns out when we called back to confirm, they said its not possible and that we would have to re-check in our luggage at London (Heathrow), even though the connecting flight Qantas booked for us won't allow us enough time to do that connection (While getting our luggage again) - Side note: I can book this all online with zero issues, but Qantas Titanium concierge makes you call to utilise the benefits of the card. We have tried now 6 calls to rectify the issue and at the very least get a flight that allows us to collect our bags on London and make it to the connecting flight. We have been hung up on 3 times. 1 person said they would call us back and nothing and all for the pleasure of $12,000 in flights and $1200 in fees for a Qantas Titanium card. #flyemirates", November 2022,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Mishandled and lost baggage,"Horrible experience with QANTAS.! Definitely will not with fly this again.! We travel Auckland-Manila with layover in Sydney on the 22nd of December 2022, and until now one of our check in baggage is still not located and its more than 2 months now.! We check in 2 baggage and the one was delivered last feb.19 around 5am early in the morning without any call or update for the deilvery. The worst thing are the baggage padlock is been cut and tampered and they even put it inside, the zipper is almost broken and heaps of our stuffs is been stolen, as per weigh of our baggage it is mire 26 kilao but before opening the baggage and they weigh in it was only down to 24 kilos.! We keep calling the given baggage customer service number but no one is picking up our call.! Both in manila ang here in new zealand.! I kept sending them an email but no one is replying me and assist me in my lost baggage report and query.! I only got generated automatic reply from them.!
We spent our hard earned money on all the contains of our bag.! We pay a more than a 5,000nzd for a one way ticket for me and my husband which is way too expensive for a plane ticket just to experience this inefficient and unprofessional services.!
If there is any one who can helps to sue this airline for our lost baggage please help and please advise.!
Email me on. mfevangelista.74@yahoo.co.uk", December 2022,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
50,Exceptional Service,"I recently flew with Qantas from Brisbane to Perth with my elderly grandmother (86years). The service produced by the airhostesses has been nothing short of exceptional. They did their upmost to ensure she was comfortable for the entire duration of the flight even to the point They offered her some of their food as she wasn't impressed with the meal she was served. They then even made the effort to help her get to and from the bathroom.
We knew travelling with Nan was going to be a challenge due to her lack of mobility but the air hostesses went above and beyond for us and made the trip so much more enjoyable than we had first anticipated. Thank you specifically to Flo, Ali, Amanda and Jasmine.", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
50,Smooth flight,"Much smoother flight both ways. Very little turbulence. Seats not as wide as , Singapore airline or Qatar but good legroom. Plenty of food , drinks and snacks.
Jetlag not as bad as non direct flights to Australia.", February 2023,Legroom: 40 Seat comfort: 30 In-flight Entertainment: 50 Customer service: 50 Value for money: 30 Cleanliness: 40 Check-in and boarding: 40 Food and Beverage: 50
20,The safest worst airline,"No doubt this is the safest airline but the airline crew are so bossy and angry. Not even a smile or being kind. Cabin crew so not feeling welcome on board. Have been on some many airlines before, this is the worst! And of course, the food in a long haul flight, nothing to remember! Give it a try to fly on one of Europe's!", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Worst airline in Australia,"Hands down the worst airline in Australia. Spirit of Australia? Only if Australia is the scum on the bottom of your shoe. The service experienced over 5 flights since the beginning of 2023 has been consistently the worst in the country. Not only is customer service at the check in counter horrendous, but the flight attendants themselves are also the rudest people you've met. On my Brisbane to Port Moresby flights earlier in Jan 2023, they had delays in check-in for over 2.5 hours! All because Qantas decided to reduce staff and switch to an automated check-in system that didn't work and relied on the 5 staff members around to run about helping EVERY customer. Then on my trip back from Nadi to Brisbane through Sydney, I could have easily made my connection but unfortunately I made the misjudgement of going with the ""seamless transit"" service instead of just taking the free airport bus shuttle. They told me I could not make my 2pm flight because the transit desk needed 1 WHOLE hour for domestic connections. So then they booked me onto the 4pm flight, which didn't depart until 5pm! So by the time I reached Brisbane, I was also stuck in peak hour traffic that further delayed my return home. In total, I was delayed by 5 hours with no apology or compensation for my time, only rude service. What a ridiculous excuse for an airline, and claiming to be the national airline of Australia, you bring shame to us all!!!", February 2023,Legroom: 30 Seat comfort: 30 In-flight Entertainment: 30 Customer service: 10 Value for money: 10 Cleanliness: 10 Check-in and boarding: 40 Food and Beverage: null
10,Failed 5 times in 1 flight,"Qantas failed at every step of the way:
1. Flight was cancelled - leaving us stranded without airport transport
2. Replacement flight added a stop over - extra 90min of travel
3. Replacement flight was delayed
4. Connecting flight (from added stop over) was missed - extra hour of travel
5. Lost half of our luggage", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Worst customer service ever experienced,"(Missing case) I flew from Sydney to Manila with Qantas on 24/02/2023. When my partner and I arrived in Manila, there was no sign of one of our cases. It seems that the lady at checkin never checked one of our bags on properly as there are only 3 of 4 bags listed on our receipt, although we handed over 4. We have been trying to get an answer since Friday, we called, we sent several emails, we sent reports, we spoke to live bots, to no avail. We are moving country and all of our belongings are in this case. We are just trying to get an answer and no one is giving it to us. The service has been appalling since we landed at checkin at the Qantas gate of Sydney airport. Staff are just extremely rude and unhelpful! This is supposed to be Australia¡¯s #1 airline?? I have received much better service from budget airlines. Absolute joke. I would strongly advise against choosing this airline.", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,BAG THETFT,"They lost my luggage and did not even refund the checked luggage fees!!!! CRIMINALS!!!

Very bad customer service, a guy in the Philippenes picked up the phone alwasys who barely spoke English...", January 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Will never be flying qantas again,"I have flown qantas twice in the last 6 months and both times have been terrible - the planes are dirty and seats are damaged or falling apart, the food is mediocre to say the least every flight I have been travelling on has been delayed and or late on arrival with poor communication and reasoning as to why.

Will not recommend to fly with Qantas to anyone well below average service & planes very poorly equipped compared to a competitor carrier e.g Air Nz (much smaller airline) asked for a blanket and was told we didnt load those on but clearly see upper class passengers being served them.

Would much rather pay a higher fare price and avoid them at all costs!!", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
20,Awful seat allocation for travellers with babies under 2.,"While I understand bassinet seating is limited. Qantas does not warn users with child bookings that the seat is not in a bassinet row. I had booked seats 25k and 25J (A330-200) which appeared to be the first row directly behind business class, it appears the aircraft has been changed and now the seats are no longer in the spot we expected them to be in. I called the Qantas number on two occasions and was not assisted to rectify this issue. No attempted to rectify the issue and make our travel a lot more comfortable. I have also been informed while on the calls mentioned above, Qantas does not provide airline prams/strollers for use between check-in and boarding the flight.

Platinum status has proven not to be useful. My partner and I have no faith in Qantas and have decided to book with a different airline on our return trip and future trips.", February 2023,Legroom: 30 Seat comfort: 30 In-flight Entertainment: 30 Customer service: 10 Value for money: 10 Cleanliness: 30 Check-in and boarding: 20 Food and Beverage: 30
10,Terrible Refund Service,"5 months ago I changed my return flight from London to Sydney.
I downgraded my seat from premium economy to economy due to the change of return flight. I was informed I would receive $127 refund for the difference in ticket.
5 months later after multiple phone calls, written complaints, supplied statutory declarations I am waiting. One person tells me I should get it in 14 business days and the next person has no idea of this. You cannot contact the refund team as they do not have a ""contactable number"".
Overall I am appalled in the service provided and will not be flying ever again with them.", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Awful customer service,"Flights were delayed and then cancelled with no communication provider. Baggage was delayed for multiple days, the arrived with substantial damage.", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,"Imagine a flight company can¡¯t even manage the system and staff well, how can people trust their planes work?","The quality of the consumer service is extremely poor, been calling every single day in a week for changing the date, but those agents kept providing mistaken information for the process and the price. You know what the most funniest thing is? Here we come. 4 different prices I have been told to pay for the same thing by 4 different agents. Every single time after the agents process my payment, I received an email informing me the payment is failed . I am very sure there must be something wrong with their system and their staff.

Imagine a flight company can¡¯t even manage the system and staff well, how can people trust their planes work?

If I were you, I would never choose a flight company like Qantas with poor management and potential management problems in the future.", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Never again,"Apart from the luxury of a flat bed, I do not believe that after paying $8,500 return for a business class seat was value for money.
I have traveeled in business class on Quantas previously and the food and the service was good.
This last trip, the food was appaling, threre was nos ervice as after the lights were dimmed the cabin crew disappeared, and I had to walk to the back of econnomy class to find a flight attendant to provide me with some water.
The food was dreadful. Neil Perry mat have designed the menu but it was awful. I had a piece of steak which was parctically bouled dry and later a panini with chicken and dressing, the panini was so dry it was curling up, and the filing was non existent .
I will not waste any more money flying with Quantas.", January 2023,Legroom: 40 Seat comfort: 40 In-flight Entertainment: 40 Customer service: 10 Value for money: 10 Cleanliness: 10 Check-in and boarding: 40 Food and Beverage: 10
10,My flights were voided without my consent,"Absolute shambles. My round trip flights from Wellington to Los Angeles departing on 20th February were voided without my consent.
I received a text message on 19th February asking me to check in via the Qantas website. When I tried to do so on the webpage using my booking reference. However, it said that I needed to go to the airport to check in.
On Feburary 19th, I went to the Wellington airport. Two employees working for the contractor company that works for Qantas at the airport tried to provide me with my tickets. However, they were told by the ticketing department that my flights had been voided. The person in the ticketing department claimed the flight had been voided by American Airlines, their partner airline. On 1 December I was surprised to receive a partial refund of around 177NZD, a fraction of the approx. 1705 NZD I had paid for the flights. This made no sense as I had asked Qantas several times via email and over the phone to specify what the refund was for in November 2022 without receiving an answer from them. In November I had asked them to change my flight date and paid them to process this request. On February 19th, I was asked to call the Qantas hotline as the employees at the airport were unable to help me. To my disbelief the hotline staff told me that they would not reissue the tickets nor provide a full refund.
I absolutely do not recommend this airline. If you want to make any changes to your flight dates be prepared to spend hours on their hotline if you are flying internationally. I don't wish anyone to go through the saga I am going through with them. I am almost 2000NZD out of pocket because of the mistakes that have been made. I had to book another flight last minute, pay for an additional night at hotel, etc. This has been very stressful and expensive. I still have not received an answer from them nor a full refund and recompensation.", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
30,Expected better,"For a national airline, I expected a bit better from Qantas on my 6 hour flight from Sydney to Bali. The food service was ok, very small portion - not enough for a longer journey. The crew were friendly, and the cabin appearance and comfort was fine. However, the in-flight entertainment was AWFUL. Very limited options and hardly any films that are relatively recent, let alone new releases! At one point, I realised that many people, including myself, were watching the same film - Wakanda! During check-in, it's all self check in machines, and hardly any Qantas staff. You have to check in, print your own luggage tags, and take your bags for check in yourself - which I found to be quite cheap from the airline. Qantas also made the passengers on this flight to wear face masks. Why, I have no idea. On arrival in Bali, hardly anyone in the terminal was wearing one, so what's the point?", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
20,Dreadful airline,First time I flew with Quantas and having paid ?2400 return economy it was a disgrace. Having got my seat to depart which I was pleased with I was then asked to move as someone more needy needed my seat. On the plus side the staff were really nice and very willing to please. Onboard entertainment wasn't the best but definitely ok. Food was very poor both flights. Snacks not readily available unless you ask. On the return flight I had an email prior to departure advising flight was delayed. Then a further email advising flight delayed again. To their credit they did give me a $20 voucher to get food but that doesn't buy much for a delay of about three to four hours extra when you've already been their nearly three. Then to top it all the flight was delayed from Singapore to UK too which meant I missed my bus home and I couldn't get on another bus as they were full due to a train strike. So ended up waiting for 4 hours to get on a less busy bus. For the money I paid it was just chaos all round and I've since just returned back from Perth and used another airline who were fabulous and cost less than half what I paid for quantas. Unless you need a direct flight use another airline., November 2022,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Worst airline I've ever dealt with,"You'd be better off swimming to your destination than flying with qantas.

Where to begin.. this has been the absolute worst customer service I have ever received in my life.
My girlfriend and I flew from Melbourne to auckland, we landed but the winds picked up and they were unable to get our bags off the plane. We were specifically told to fill out a paper copy of the lost baggage form and hand this in at the airport, and that we would then receive correspondence about our bags being sent to us within 7 days at the latest.

It is now day 9 and we've heard absolutely nothing. My girlfriend and I have called every number possible, Sent emails, tweets, direct messages everything but still no one has helped us.

On the 20th I spoke with someone who put the phone down on me. On the 21st I spoke with someone who told me I'd get 2 calls back within the next 24 hours, 1 about our baggage and 1 about our compensation, i received neither. I called again today and spoke with 3 separate people today on the phone, each one unable to help. Their manager REFUSED to speak to me. I was then refused the name of the manager several times.

It appears no one in this company wants to help me, let alone is capable of helping me. I have been hung up on twice, I was even left on the line whilst a consultant left the phone on silent for 15 minutes hoping I would just hang up before she had to help.

In summary, I'd advise anyone looking to fly with qantas to reconsider. They snap up your money (and luggage in my case) and then refuse to help or answer any form of contact after. Utterly disgraceful.", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
20,Service structure not thought out,"The trip to LA was OK, though the food was mediocre at best. I flew premium economy here.
On the return, I tried to change my standard seat selection and was told that even though the seat was listed as free (as was the one I was changing it from), they would charge me $45USD to change seats. I've never heard of this before on ANY airline, and it tipped me back to flying Air New Zealand again from now on. I do like the A380, but not the way Qantas run it...", February 2023,Legroom: 30 Seat comfort: 30 In-flight Entertainment: 20 Customer service: 30 Value for money: 10 Cleanliness: 20 Check-in and boarding: 30 Food and Beverage: 10
10,I was bumped off a Qantas Flight I had booked 7 months earlier,"On the day my wife and I were due to return to the UK from Perth we were ¡°bumped off¡± the flight I had booked 7 months earlier. The explanation I was given was ¡° safety reasons ¡° due to weather conditions.
We were put on to an alternative flight which took off over 4 hours after our original flight and included a 2 hour stopover.Apart from the inconvenience, If we had booked this flight originally it would have cost us much less than the non-stop Qantas flight we had paid for.
I enquired about the weather conditions with the other airline that supposedly caused Qantas to remove us from the flight. They stated that they were unaware of any adverse weather conditions that day.
I lodged a complaint with Qantas. who just replied with meaningless and irrelevant ¡°standard letters¡± which ruled out any real apology or offer of compensation.
I suspect that the flight was either ¡°over sold¡± or took on additional cargo at the last minute. I am waiting from a response from the Australian Airline Customer Advocate .
I won¡¯t be flying with Qantas again!", December 2022,Legroom: 30 Seat comfort: 30 In-flight Entertainment: 10 Customer service: 30 Value for money: 30 Cleanliness: 30 Check-in and boarding: 30 Food and Beverage: null
10,Very disappointed,"Our flight was delayed nearly 30 hours but that is not why I gave 1 star. When we eventually did get underway, the whole experience was terrible. Could hardly move in the seat. Last traveller in my seat left hair clips. We had one meal and 1breakfast on a17 hour flight. Offered water 4 times and twice came round with one chocolate sweet. I had a vodka with meal and it was the cheap stuff. I know, you could go up to the steward station and ask for beverages but on a17 hour flight surely the service could be more frequent. This was my 4th long distance flight in the last 14 months with different airlines and was the worst by a country mile.
I have also done 2 internal flights with Qantas and they were good, but there certainly should be a little consideration shown to the people who visit Australia. The first impression you get of Australia is the flight and they certainly let their country down.", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,You've been warned. Don't use Qantas for international flights,"They charged our card twice and told us they didn't receive any payments so would hold the flights for 24 hours while we called the bank, we spent 6 hours on the phone with them and our bank and the bank confirmed the payment had been approved, so when we called Qantas back the next day to give them the confirmation number and they told us they hadn't actually held the flights and instead had cancelled them. And surprise surprise the flights had gone up by $3500 in a day, how convenient.

They we're so unhelpful I'm convinced they did all this on purpose and kept saying there was nothing they could do because it was a partner airline. So I would highly recommend you book directly with whatever partner airline your traveling internationally with because we always have issues with Qantas doing this, this was just the most intensely frustrating one.

By the way Qantas, we don't want another meaningless PR response from you about how sorry you are, we've been on the phone with several of your actual customer service operators and I can tell you, you don't care so just don't reply to this ok.", January 2023,Legroom: 10 Seat comfort: 10 In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Never again!,"I have been trying for over a year to contact Qantas. They make it impossible. They will change your booking multiple times so that it no longer makes sense, even after you've arrived at the airport. And I couldn't even use my return portion of the ticket as they had the second leg of the journey leaving before the first -- and from a completely different city! In total I've spent over 30 hours on the phone waiting for someone to pick up. There's no customer care email address. I have written multiple complaints (and requests for refunds) via the complaints and refunds pages, but no one responds. It's a disaster. And to think they have received bailouts from the Australian government using (in part) MY taxes makes me furious. They have even been boasting about turning record profits!!! Yet they can't find the time (or pay sufficient staff) to attend to the valid concerns of their customers. All they care about is money. But this is nothing new with Qantas. When their competition (Ansett) went under just over 30 years ago they instantly tripled all their prices. And they maintain the same attitude today (because they know people don't have a choice but to fly with them or their subsidiary, especially with Virgin going under). The only difference between now and then is that the quality of their service has free-fallen. I went business class and ate half-cooked rice with some unidentifiable meat. We were offered only cheap wine and beer, with no pre-flight drink. Just like economy but the food was worse. My seat and tray were filthy, obviously hadn't been cleaned in a long time, and staff super rude, lazy and not at all attentive (took almost 2 hours to get their attention. They were all huddled in the galley, gossiping. In the end, I had to sit on the dirty seat for two hours, until the seatbelt sign was off, before I was able to walk up to the galley -- they completely ignored the call bell -- and request some wipes to clean it myself). All of this is 100% truth, no exaggerations. Maybe I was just incredibly unlucky, but it's hard to believe that considering the service was consistently bad the whole way through, from beginning to end. If travelling to Australia, go with an Asian airline. They always treat customers with respect; not like annoying nuisances (and I should add, at this point, that I was never unduly demanding and I always spoke to the staff politely and with maximum understanding). Worst of all, Qantas didn't provide accommodation as promised by the staff when they changed the connecting flight to the following day at the last minute, leaving me wandering through dark and isolated car parks after midnight trying to find airport accommodation. The flight attendant probably just told me that to fob me off; she told me to go to the service desk but she must have known it was closed outside of business hours (no one at the hotels was answering and most of the hotels were fully booked. I was not allowed to stay inside the airport as it closed overnight. Such disregard for passenger safety). Really, words cannot express how shocked I was at how far Qantas has plummeted. Australia's favourite airline indeed...", March 2022,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
50,Amazing service and nice flight,Amazing customer service on our flight from brisbane to Melbourne particular mention to Georgie our cabin crew member made us feel warm and welcome and wanted. Highly recommend clean and top service, February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Racist airline Qantas downgraded me fromBus to economy ( while on a work trip),"I don¡¯t know what¡¯s with qantas and non white people, the customer service is terrible. Despite being an international ticket to Santiago, a leg of my flight Sydney was downgraded to economy. The check in counter customer service rep didn¡¯t acknowledge or tell me the reason why I was downgraded.
I suppose qantas would have not dared to do this if my skin and hair was lighter.", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,No to Qantas,"Five (5) flights in two (2) weeks- two complaints issue against Qantas. Flight cancelled resulted in extra hotel night, no reimbursement. And paid for upgrade to Econ Plus, but Qantas changed planes at the last minute and seated us in Econ.
Qantas gives you a complaint reference number quickly, but then always responds with a
Call back promise that does not happen. They just wear you down until you give up.", January 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Worst airline in the world,"Do what ever you can to fly with an alternate airline.
Old and cranky stewardess is a prerequisite for Qantas. Try and book a frequent flyer flight on classic rewards. Hahahahaha. Non existent. Their frequent flyer program is so fake. If you can¡¯t find a classic reward flight, which you won¡¯t, you¡¯ll be asked to used the most ridiculous amount of points for your flight. Example, close to 1 million points to fly to London from Sydney one way. That equates to spending 2 million dollars on your credit card to earn those points or flying to Bangkok on a paid flight 200 times. Hard to believe? Check it out. Don¡¯t wast your time until Alan Joyce is gone from the top job. Every Australian I know now hates Qantas. It¡¯s embarrassing to admit it¡¯s our national airline. And all because of Alan. I¡¯d rather row a boat to London.", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
40,Nice Airlines but...,I flied from Bangkok to Auckland VIA Sydney on Qantas. The A330-300 is a nice aircraft to fly Economy since the a/c layout is 2-4-2 and the IFE was very nice! The food was great but too small portion while their crew is the best., February 2023,Legroom: 40 Seat comfort: 50 In-flight Entertainment: 50 Customer service: 30 Value for money: 40 Cleanliness: 40 Check-in and boarding: 50 Food and Beverage: 30
10,Change of Schedule,"My flight was delayed from Friday to Saturday. Bad enough, but it was what followed that really annoyed me. I was told by email that I had to accept the new date and time, even though it was the same flight. Qantas told me I had to contact my travel agent. I spent two calls of 60 minutes with my agent who were told by Qantas that they could not do this. Phoned Qantas again - 28 minute call - seemed to know nothing and told me I had to wait. Phoned just now and was told to wait for another email from them. I don't entirely trust this and I still don't feel entirely confident about being on the flight. Stress

I had to cancel my Melbourne hotel, but it was the totally confused messaging and communication that inspired me to write this. Avoid Qantas.", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Refund still not issued after 2 years,"After my flight was canned due to Covid in 2020, we were issued with 'Flight Credit'. Upon trying to have this refunded, we've been given the run-around for over a year. Customer service either don't care, or don't know. Refund requests go ignored, incorrect information is constantly relayed to us - some go as far as saying previous agents have 'lied' about the status of our claim. I cannot and will not recommend Qantas to anyone.", September 2022,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,BAD CUSTOMER SERVICE,Food provided was worst I had in any airlines. Crew members were rude tired and overloaded with work. Qantas is totally avoidable for international travel., December 2022,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
